Brand,Store_Count,City_Cover,Average_Price
大头儿子鲜奶吧,6,6,14
摩柠手作茶室,6,4,17
牛嬷嬷鲜奶吧,6,1,10
柠厂·柠檬茶,6,2,13
道叔茶铺,6,1,13
吃货小姐,6,1,30
李子梨,6,4,18
沫忘茶酸奶,6,1,23
楂堆·山楂养生茶,6,4,17
YOGBOX酸奶集盒,6,1,18
榴三杯·一个榴莲做三杯,6,4,20
蔗小柒·新式果奶茶,6,2,13
亦氪柠檬,6,3,7
茶里茶外鲜果茶,6,3,
Jazcu珍仕菓鲜榨果汁,6,2,
余小芒,6,1,
民骏龟苓膏凉茶,6,1,
小鹿茶luckintea,5,5,17
Sevenbus一家奶茶店,5,5,19
酒真便利店,5,1,24
绣之茶,5,5,18
秀莲胡妈妈 冰粉茶饮开创者,5,1,13
汝呓如意·奶茶,5,1,15
熊姬手作茶物,5,4,18
喜喝·鲜果柠檬茶,5,1,13
太慕时光啤酒工坊,5,1,19
博斯坎和田酸奶粽子冰水王,5,2,16
碎银几两 Seeing Tea,5,1,36
月光茶人,5,2,18
弹一杯,5,3,17
台萃鲜茶,5,1,15
仙雨林,5,1,14
董香柠·手打香水柠檬茶,5,1,11
西麦语茶,5,1,15
伍悦椿茶,5,1,9
HI MANGO 很芒の芒,5,2,20
玉川茶物所,5,1,57
AunteaCare姨妈热饮,5,1,22
柠无二WUERCHA,5,3,15
星星奶冰·汤圆刨冰,5,1,23
24KGREEN奶茶,5,1,17
